0.21,1.4
-1.05,0.82
-3.612,0
-1.008,0.84
-2.226,0.29
2.961,2.64
3.864,3.05
8.757,5.26
3.36,2.82
19.824,10.27
10.542,6.07
21,10.8
14.343,7.79
21.126,10.86
14.7,7.95
19.971,10.33
21,10.8
24.885,12.56
27.468,13.73
27.552,13.76
28.497,14.19
28.434,14.16
27.363,13.68
31.5,15.55
35.797335,20.91
35.797335,25.47
35.797335,25.62
35.797335,25.47
35.797335,25.76
35.797335,23.09
35.7,17.45
24.612,12.43
31.5,15.55
27.3,13.65
31.122,15.38
21,10.8
16.191,8.62
2.1,2.25
19.551,10.14
13.86,7.57
12.6,7
17.073,9.02
12.6,7
6.3,4.15
10.92,6.24
8.4,5.1
10.92,6.24
8.4,5.1
11.55,6.52
10.3635,5.99
10.92,6.24
16.254,8.65
21,10.8
35.797335,17.92
30.45,15.08
33.621,16.51
31.227,15.43
32.886,16.18
32.97,16.22
32.55,16.02
32.55,16.02
30.051,14.89
28.896,14.37
28.308,14.11
28.266,14.09
28.539,14.21
28.6755,14.27
28.224,14.07
29.568,14.68
28.917,14.38
28.098,14.01
31.5,15.55
35.797335,20.53
35.797335,24.93
35.797335,24.86
35.797335,24.8
35.797335,24.86
35.797335,22.72
35.797335,18.86
31.6365,15.61
35.0175,17.14
30.891,15.27
35.7,17.45
26.817,13.43
33.6,16.5
17.01,9
26.04,13.08
19.047,9.92
13.041,7.2
23.919,12.12
15.792,8.44
16.128,8.6
14.7,7.95
15.75,8.42
16.8,8.9
14.889,8.04
18.9,9.85
16.8,8.9
23.1,11.75
24.15,12.22
24.78,12.51
30.912,15.28
30.891,15.27
35.797335,18.26
35.616,17.41
34.23,16.78
32.424,15.97
31.08,15.36
30.24,14.98
28.14,14.03
28.14,14.03
26.67,13.36
28.287,14.1
29.778,14.77
29.673,14.72
28.77,14.32
31.941,15.75
29.274,14.54
28.287,14.1
32.277,15.9
35.797335,18.63
35.797335,22.69
35.797335,22.63
35.797335,22.42
35.797335,22.81
35.797335,21.37
30.45,15.08
30.03,14.88
30.891,15.27
17.682,9.3
25.599,12.88
10.5,6.05
11.844,6.66
4.746,3.45
6.048,4.04
-4.2,0
-4.2,0
3.906,3.07
2.1,2.25
-2.94,0
0.21,1.4
0,1.3
1.05,1.78
-2.1,0.35
0,1.3
0,1.3
4.2,3.2
9.492,5.59
4.662,3.41
29.4,14.6
21,10.8
32.76,16.12
29.4,14.6
31.206,15.42
30.87,15.26
28.98,14.41
29.4,14.6
27.3,13.65
28.056,13.99
27.552,13.76
27.447,13.72
28.056,13.99
29.4,14.6
29.4,14.6
29.4,14.6
28.35,14.12
27.51,13.74
29.106,14.47
35.797335,19.55
35.797335,23.48
